alias_name,alias_value
headers,curl -I
icurl,curl -I
get,curl --continue-at - --location --progress-bar --remote-name --remote-time
dl,curl --continue-at - --location --progress-bar --remote-name --remote-time
wget,curl -O
get,curl -O
download,curl -O
h,history
hist,history | grep --color
hg,history | grep
ch,history -c && > ~/.bash_history
hc,history -c ; clear
hclear,history -c ; clear
history-stat,history 0 | awk '{print \$2}' | sort | uniq -c | sort -n -r | head
history,history 0
h,history 0
history,history 1
h,history 1 | less +G
defhist,"history 1 | grep ""defaults"""
h,history 25
hi,history -n | peco
u,history -n
hu,history -n
hi,history 25
hist,history 25
he,history -a
exit,history -a && exit
hs,history -a
h,history 20
h2,history 20
hh,history 20
h,history 10
h1,history 10
gitjk,history 10 | tac | gitjk_cmd
history,history -E
h,history -E
hs,history -E
T,| tail
t,tail
ET,|& tail
tf,tail -f
tailf,tail -f
t,tail -f
devlog,tail -f log/development.log
tfdl,tail -f log/development.log
tlog,tail -f log/development.log
herr,tail /var/log/httpd/error_log
apacheerr,tail /var/log/httpd/error_log
httpErr,tail /var/log/httpd/error_log
cbhs,cat $HISTFILE | tail -n 1 | cb
last,tail -n 1
t1,tail -n 1
TL,| tail -20
hi,history | tail -20
ETL,|& tail -20
tftl,tail -f log/test.log
testlog,tail -f log/test.log
tailtest,tail -f log/test.log
usage,du -ch 2> /dev/null | tail -1
t1,tail -1
cpuUsage,mpstat | tail -1 | awk '{print 100-\$(NF-1)}'
profileme,"history | awk '{print \$2}' | awk 'BEGIN{FS=\""|\""}{print \$1}' | sort | uniq -c | sort -n | tail -n 20 | sort -nr"
dt,demsg | tail -n 20
memoryhog,ps aux | sort -nk +4 | tail -n 20
apkinstall,adb devices | tail -n +2 | cut -sf 1 | xargs -I X adb -s X install -r $1
clearapp,adb devices | tail -n +2 | cut -sf 1 | xargs -I X adb -s X shell pm clear $1
rmapp,adb devices | tail -n +2 | cut -sf 1 | xargs -I X adb -s X uninstall $1
df,df -h
dfh,df -h
dh,df -h
df,df -kTh
dfh,df -kTh
dh,df -kTh
df,df -H
dfh,df -H
disk,df -H
df,df -hT
mountedinfo,df -hT
dfh,df -hT
df,df -kh
disk_usage,df -kh
du,df -kh
df,df -Th
dfh,df -Th
fdf,echo && free -lth && echo && df -Th
df,df --human-readable
dfh,df --human-readable
disk,df --human-readable | grep -e /dev/sd -e Filesystem
df,df -Tha --total
dfdisk,df -Tha --total
dft,df -Tha --total
diskspace_report,df -P -kHl
diskspace,df -P -kHl
ds,df -P -kHl
df,df
pkc,df ; apt-get clean ; echo ; df
disk,df
hidedesktop,defaults write com.apple.finder CreateDesktop -bool false && killall Finder
hidedeskicons,defaults write com.apple.finder CreateDesktop -bool false && killall Finder
hide-desktop-icons,defaults write com.apple.finder CreateDesktop -bool false && killall Finder
showdesktop,defaults write com.apple.finder CreateDesktop -bool true && killall Finder
showdeskicons,defaults write com.apple.finder CreateDesktop -bool true && killall Finder
show-desktop-icons,defaults write com.apple.finder CreateDesktop -bool true && killall Finder
show,defaults write com.apple.finder AppleShowAllFiles -bool true && killall Finder
showdotfiles,defaults write com.apple.finder AppleShowAllFiles -bool true && killall Finder
showfiles,defaults write com.apple.finder AppleShowAllFiles -bool true && killall Finder
hide,defaults write com.apple.finder AppleShowAllFiles -bool false && killall Finder
hidedotfiles,defaults write com.apple.finder AppleShowAllFiles -bool false && killall Finder
hidefiles,defaults write com.apple.finder AppleShowAllFiles -bool false && killall Finder
showFiles,defaults write com.apple.finder AppleShowAllFiles YES ; killall Finder /System/Library/CoreServices/Finder.app
showfiles,defaults write com.apple.finder AppleShowAllFiles YES
show,defaults write com.apple.finder AppleShowAllFiles YES ; killall Finder /System/Library/CoreServices/Finder.app
hideFiles,defaults write com.apple.finder AppleShowAllFiles NO ; killall Finder /System/Library/CoreServices/Finder.app
hidefiles,defaults write com.apple.finder AppleShowAllFiles NO
hide,defaults write com.apple.finder AppleShowAllFiles NO ; killall Finder /System/Library/CoreServices/Finder.app
finderHideHidden,defaults write com.apple.finder ShowAllFiles FALSE
finderhidehidden,defaults write com.apple.finder ShowAllFiles FALSE
hide_all,defaults write com.apple.finder ShowAllFiles FALSE && killall Dock
finderShowHidden,defaults write com.apple.finder ShowAllFiles TRUE
finderShow,defaults write com.apple.finder ShowAllFiles TRUE
findershowhidden,defaults write com.apple.finder ShowAllFiles TRUE
showhidden,defaults write com.apple.finder AppleShowAllFiles TRUE && killall Finder
show_files,defaults write com.apple.finder AppleShowAllFiles TRUE ; killall Finder
showfiles,defaults write com.apple.finder AppleShowAllFiles TRUE ; killall Finder
hidehidden,defaults write com.apple.finder AppleShowAllFiles FALSE && killall Finder
hide_files,defaults write com.apple.finder AppleShowAllFiles FALSE ; killall Finder
hidefiles,defaults write com.apple.finder AppleShowAllFiles FALSE ; killall Finder
mkdir,mkdir -p
md,mkdir -p
mk,mkdir -p
mkdir,mkdir -pv
mkd,mkdir -pv
md,mkdir -pv
md,mkdir
icanhas,mkdir
mk,mkdir
mkdir,mkdir -p -v
md,mkdir -p -v
mkdr,mkdir -p -v
mkdir,mkdir -v
mk,mkdir -v
mdv,mkdir -v
mkdir,mkdir -vp
mkd,mkdir -vp
mvp,mkdir -vp
quick,rm -rf build/ && mkdir build && cd build && cmake ..
mkbuild,mkdir build ; cd build
rebuild,time rm -rf build && rm -rf devel && mkdir build && cd build && cmake .. && time make -j4
mkdir,mkdir --parents --verbose
md,mkdir --parents --verbose
mkdirpv,mkdir --parents --verbose
mkdir,mkdir --parents
md,mkdir --parents
mkd,mkdir --parents
md,mkdir $1
mcd,mkdir $1 && cd $1
mkcd,mkdir $1 && cd $1
H,| head
lh,l | head
history-stat,history 0 | awk '{print \$2}' | sort | uniq -c | sort -n -r | head
cpu_hogs,"ps wwaxr -o pid,stat,%cpu,time,command | head -10"
memHogsPs,"ps wwaxm -o pid,stat,vsize,rss,time,command | head -10"
psmem10,ps auxf | sort -nr -k 4 | head -10
memHogsTop,top -l 1 -o rsize | head -20
HL,|& head -20
lt,ls -alt | head -20
top10,print -l ${(o)history%% *} | uniq -c | sort -nr | head -n 10
hist10,print -l ${(o)history%% *} | uniq -c | sort -nr | head -n 10
h10,head -n 10
psg,ps -Af | head -1 && ps -Af | grep
branch_oldest_ancestor,"/usr/bin/diff -u <(git rev-list --first-parent master) <(git rev-list --first-parent HEAD) | sed -ne ""s/^ //p"" | head -1"
h1,head -1
psg,ps auxwww | head -n 1 ; ps auxwww | grep -Ei
h1,head -n 1
psme,"ps -o ppid,pid,euser,stat,%cpu,rss,args | head -n 1 ; ps -eH -o ppid,pid,euser,stat,%cpu,rss,args | grep $USER"
ducks,du -cks * | sort -rn | head -11
sd,find -maxdepth 1 -print0 | xargs -0i du -ks {} | sort -rn | head -11 | cut -f2 | xargs -i du -hs {}
topd,du -sch .[!.]* * | sort -rh | head -11
freq,cat $HISTFILE | cut -f1 -d' ' | sort | uniq -c | sort -nr | head -n 30
genpasswd,strings /dev/urandom | grep -o '[[:alnum:]]' | head -n 30 | tr -d '\n' ; echo
pw,strings /dev/urandom | grep -o '[[:alnum:]]' | head -n 30 | tr -d '\n' ;
pg,ps aux | head -n1 ; ps aux | grep -i
pss,"processes=`ps aux` ; echo ""$processes"" | head -n1 ; echo ""$processes"" | grep -E"
np,"mpc --format "".: %title% by %artist% #[%album%#] :."" | head -n1"
breakitdown,history | awk '{a[$2]++ } END{for(i in a){print a[i] ' ' i}}' | sort -rn | head -n 20
profileme,"history | awk '{print \$2}' | awk 'BEGIN{FS=\""|\""}{print \$1}' | sort | uniq -c | sort -nr | head -n 20"
top20,print -l $$${(o)history%% *} | uniq -c | sort -nr | head -n 20
sc,systemctl
systemctl,sudo systemctl
SS,sudo systemctl
suspend,systemctl suspend
sus,sudo systemctl suspend
sleep,systemctl suspend
poweroff,systemctl poweroff
shutdown,sudo systemctl poweroff
off,sudo systemctl poweroff
reboot,sudo systemctl reboot
restart,sudo systemctl reboot
reb,systemctl reboot
restart,systemctl restart
srestart,sudo systemctl restart
scr,sudo systemctl restart
start,sudo systemctl start
sstart,sudo systemctl start
scs,systemctl start
status,systemctl status
scs,systemctl status
sstatus,sudo systemctl status
stop,sudo systemctl stop
sstop,sudo systemctl stop
sysstop,sudo systemctl stop
scu,systemctl --user
userctl,systemctl --user
sysu,systemctl --user
hibernate,systemctl hibernate
hib,systemctl hibernate
hiber,sudo systemctl hibernate
tree,find . -print | sed -e 's;[^/]*/;|____;g;s;____|; |;g'
findfolders,find . -type d -print | sed -e 's;[^/]*/;|____;g;s;____|; |;g' | less
tree-bash,find . -print | sed -e 's;[^/]*/;|____;g;s;____|; |;g'
S,| sed
gsed,sed
E,| sed
logs,find /var/log -type f -exec file {} \ ; | grep 'text' | cut -d' ' -f1 | sed -e's/:$//g' | grep -v '[0-9]$' | xargs tail -f
allogs,sudo find /var/log -type f -exec file {} \ ; | grep 'text' | cut -d' ' -f1 | sed -e's/:$//g' | grep -v '[0-9]$' | xargs tail -f
b-logs,find /var/log -type f -exec file {} \ ; | grep 'text' | cut -d' ' -f1 | sed -e's/:$//g' | grep -v '[0-9]$' | xargs tail -f
ips,ifconfig -a | grep -o 'inet6\? \(\([0-9]\+\.[0-9]\+\.[0-9]\+\.[0-9]\+\)\|[a-fA-F0-9:]\+\)' | sed -e 's/inet6* //'
network.ips,ifconfig -a | grep -o 'inet6\? \(\([0-9]\+\.[0-9]\+\.[0-9]\+\.[0-9]\+\)\|[a-fA-F0-9:]\+\)' | sed -e 's/inet6* //'
localips,ifconfig -a | grep -o 'inet6\? \(\([0-9]\+\.[0-9]\+\.[0-9]\+\.[0-9]\+\)\|[a-fA-F0-9:]\+\)' | sed -e 's/inet6* //'
es,sed -f $top_srcdir/man/manlinks.sed $inalias | sort -u
gdi,"git status --porcelain --short --ignored | sed -n ""s/^!! //p"""
${gprefix}di,"git status --porcelain --short --ignored | sed -n ""s/^!! //p"""
gfo,"git status --porcelain --short --ignored | sed -n ""s/^!! //p"""
ipview,"netstat -anpl | grep :80 | awk {'print \$5'} | cut -d"":"" -f1 | sort | uniq -c | sort -n | sed -e 's/^ *//' -e 's/ *\$//'"
b-connections,"netstat -anpl | grep :80 | awk {'print \$5'} | cut -d"":"" -f1 | sort | uniq -c | sort -n | sed -e 's/^ *//' -e 's/ *\$//'"
myip,ifconfig en1 | sed -En 's/127.0.0.1//;s/.*inet (addr:)?(([0-9]*\.){3}[0-9]*).*/\2/p'
localip,ifconfig | sed -En 's/127.0.0.1//;s/.*inet (addr:)?(([0-9]*\.){3}[0-9]*).*/\2/p'
ip,ifconfig en0 | sed -En 's/127.0.0.1//;s/.*inet (addr:)?(([0-9]*\.){3}[0-9]*).*/\2/p'
sed,sed -E
esed,sed -E
sed-regex,sed -E
gd,"git diff --color | sed ""s/^\([^-+ ]*\)[-+ ]/\\1/"" | less -r"
gdiff,"git diff --color | sed ""s/^\([^-+ ]*\)[-+ ]/\\1/"" | less -r"
strip-diff-prefix,"sed ""s/^\([^-+ ]*\)[-+ ]/\\1/"""
:q,exit
q,exit
x,exit
q,exit 0
:q,exit 0
upgrade,sudo apt-get -y update && sudo apt-get -y --allow-unauthenticated upgrade && sudo apt-get autoclean && sudo apt-get autoremove && exit 0
getoptarg,"if test $OPTLNG -eq 1 -o -z ""$OPTOPT"" ; then shift ; OPTARG=""$1"" ; else OPTARG=""$OPTOPT"" ; OPTOPT="""" ; fi ; test -z ""$OPTARG"" && { echo ""$OPT needs argument"" ; exit 1 ; }"
fail,{ echo $LINENO ; exit 1 ; }
quit,exit 1
exit_on_error,"err=$? ; [[ ""$err"" != ""0"" ]] && echo ""erreur sur la commande "" $CMD && exit $err"
handle_exit,exit $return_value
q,exit 0 2>/dev/null
type,"find ./.computer.o >& ~/_ || echo ""There is nothing on which you could type."" ; find ./.computer.o >& ~/_ && find ~/HW1/.blocked/description >& ~/_ && echo ""You type on the keyboard, but your characters do not even echo."" ; find ./.computer.o >& ~/_ && find ~/HW1/.blocked/computeron >& ~/_ && ~/HW1/.blocked/fauxUNIX && ~/HW1/.blocked/login.x toukmond robert && exit 0 >& ~/_"
rexit,is_sourced && return 6 || exit 7
xx,exit \n exit
gge,gg && exit $?
kk,konsole && exit $?
java8,export JAVA_HOME=$JAVA_8_HOME
jdk8,export JAVA_HOME=$JAVA_8_HOME
use_java8,export JAVA_HOME=$JAVA_8_HOME
setJdk8,export JAVA_HOME=$(/usr/libexec/java_home -v 1.8)
java8,export JAVA_HOME=$(/usr/libexec/java_home -v 1.8)
j8,export JAVA_HOME=$(/usr/libexec/java_home -v 1.8) ; java -version
ED,export DISPLAY=:0.0
sd,export DISPLAY=:0.0
getx,export DISPLAY=:0.0
aws-ip,"export instanceIp=`aws ec2 describe-instances --filters ""Name=instance-id,Values=$instanceId"" --query ""Reservations[0].Instances[0].PublicIpAddress""` && echo $instanceIp"
aws-start,"aws ec2 start-instances --instance-ids $instanceId && aws ec2 wait instance-running --instance-ids $instanceId && export instanceIp=`aws ec2 describe-instances --filters ""Name=instance-id,Values=$instanceId"" --query ""Reservations[0].Instances[0].PublicIpAddress""` && echo $instanceIp"
aws-get-ip,"export instanceIp=`aws ec2 describe-instances --filters ""Name=instance-id,Values=$instanceId"" --query ""Reservations[0].Instances[0].PublicIpAddress""` && echo $instanceIp"
j8,export JAVA_HOME=`/usr/libexec/java_home -v 1.8` ; java -version
java8,export JAVA_HOME=`/usr/libexec/java_home -v 1.8`
jdk8,export JAVA_HOME=`/usr/libexec/java_home -v 1.8` ; java -version
setJdk7,export JAVA_HOME=$(/usr/libexec/java_home -v 1.7)
j7,export JAVA_HOME=$(/usr/libexec/java_home -v 1.7)
java7,export JAVA_HOME=$(/usr/libexec/java_home -v 1.7)
jdk7,export JAVA_HOME=$JAVA_7_HOME
java7,export JAVA_HOME=$JAVA_7_HOME
use_java7,export JAVA_HOME=$JAVA_7_HOME
setproxy,export ALL_PROXY=socks5://127.0.0.1:1080
proxy,export ALL_PROXY=socks5://127.0.0.1:1080
set_proxy,export ALL_PROXY=socks5://127.0.0.1:1080
e,export
exp,export
EXP,export
j8,export JAVA_HOME=$JDK8 && export PATH=$JAVA_HOME/bin:$PATH
java8,export JAVA_HOME=$JAVA_HOME8 ; export PATH=$JAVA_HOME/bin:$PATH
java7,java7(){ export JAVA_HOME=/global/share/jdk1.7.0_71/ ; export PATH=$JAVA_HOME/bin:$PATH ; export CLASSPATH=.:$JAVA_HOME/lib/dt.jar:$JAVA_HOME/lib/tools.jar ; } ; java7 ;
mkdir,nocorrect mkdir
md,nocorrect mkdir
mv,nocorrect mv
cp,nocorrect mv
cp,nocorrect cp
man,nocorrect man
sudo,nocorrect sudo
nsudo,nocorrect sudo
s,nocorrect sudo
rm,nocorrect rm
mysql,nocorrect mysql
gist,nocorrect gist
heroku,nocorrect heroku
h,nocorrect heroku
ebuild,nocorrect ebuild
sudo,sudo
_,sudo
please,sudo
activateSpotlight,sudo sudo mdutil -i off
act_as,sudo sudo -u $@ bash -i
arm,sudo sudo -u debian-tor arm
networkscan,sudo sudo arp-scan --interface=en0 --localnet
wp-normal,sudo sudo chown -R cs public_html/smuff.ro/public/
ka,sudo sudo killall $1
pacrlo,sudo sudo pacman -Rs $(pacman -Qtdq)
super,sudo sudo su -
pipall,"sudo sudo sudo sudo sudo sudo sudo sudo pip freeze --local | grep -v ""^\-e"" | cut -d = -f 1 | xargs -n1 pip install -U"
scat,sudo cat
c,cat
invisible,cat
pubkey,cat ~/.ssh/id_rsa.pub
sshkey,cat ~/.ssh/id_rsa.pub | pbcopy && echo 'Copied to pasteboard.'
publickey,cat ~/.ssh/id_rsa.pub | pbcopy
busy,"cat /dev/urandom | hexdump -C | grep ""ca fe"""
lookbusy,"cat /dev/urandom | hexdump -C | grep ""34 32"""
zb,"cat /dev/urandom | hexdump -C | grep --color=auto ""ca fe"""
catn,cat -n
cat,cat -n
C,| cat -n
CA,2>&1 | cat -A
cata,cat -A
gsadiff,git diff --color -M --staged | cat -A | lessr
pbpaste,cat /dev/clipboard
getclip,cat /dev/clipboard
paste,cat /dev/clipboard && echo
cbrc,cat ~/.bashrc
b,cat ~/.bashrc | grep
ghelp,"cat ~/.bashrc | grep ""alias g"""
show,cat ~/.dirs
L,cat ~/.dirs
smarks,cat ~/.dirs
cpu,"cat /proc/cpuinfo | grep ""cpu MHz"""
cpuinfo,cat /proc/cpuinfo
sysinfo,"echo -e ""\n\e[1;93mVERSION\e[0m"" && cat /etc/issue | head -1 | cut -d"" "" -f1-3 && echo -e ""\n\e[1;93mKERNEL\e[0m"" && uname -r && echo -e ""\n\e[1;93mPROCESSOR\e[0m"" && cat /proc/cpuinfo | grep processor | wc -l | xargs echo -n && echo -e "" processors"" && cat /proc/cpuinfo | grep MHz | uniq && echo -e ""\n\e[1;93mNETWORK\e[0m"" && ifconfig | grep -A1 ""eth"" && echo -e ""\n\e[1;93mLOADAVG\e[0m"" && cat /proc/loadavg && echo -e ""\n\e[1;93mMEMORY\e[0m"" && free -m && echo -e ""\n\e[1;93mDISK SPACE\e[0m"" && df -h && echo -e ""\n"""
cbhs,cat $HISTFILE | tail -n 1 | cb
cliphs,cat $HISTFILE | tail -n 1 | cb
history,cat $HISTFILE
vu,vagrant up
vup,vagrant up
vgu,vagrant up
vssh,vagrant ssh
vs,vagrant ssh
vsh,vagrant ssh
v,vagrant
vg,vagrant
va,vagrant
vh,vagrant halt
vhalt,vagrant halt
vgh,vagrant halt
vs,vagrant status
vst,vagrant status
vstat,vagrant status
vd,vagrant destroy
vdestroy,vagrant destroy
vgd,vagrant destroy
vr,vagrant reload
vreload,vagrant reload
vrl,vagrant reload
vp,vagrant provision
vgp,vagrant provision
vprov,vagrant up && vagrant provision
vs,vagrant suspend
vsus,vagrant suspend
vsuspend,vagrant suspend
vgs,vagrant global-status
v,vagrant global-status
vg,vagrant global-status
